alg      instance      k  rep    v         
G        flat50-1      0  486    541       
G        flat50-1      0  487    541       
G        flat50-1      0  488    541       
G        flat50-1      0  489    541       
G        flat50-1      0  490    539       
G        flat50-1      0  491    543       
G        flat50-1      0  492    540       
G        flat50-1      0  493    543       
G        flat50-1      0  494    540       
G        flat50-1      0  495    542       
G        flat50-1      0  496    540       
G        flat50-1      0  497    540       
G        flat50-1      0  498    543       
G        flat50-1      0  499    540       
G        flat50-1      0  500    539       
G        flat50-1      0  501    539       
G        flat50-1      0  502    539       
G        flat50-1      0  503    540       
G        flat50-1      0  504    540       
G        flat50-1      0  505    541       
G        flat50-1      0  506    541       
G        flat50-1      0  507    540       
G        flat50-1      0  508    540       
G        flat50-1      0  509    538       
G        flat50-1      0  510    542       
G        flat50-1      0  511    544       
G        flat50-1      0  512    542       
G        flat50-1      0  513    541       
G        flat50-1      0  514    542       
G        flat50-1      0  515    540       
G        flat50-1      0  516    542       
G        flat50-1      0  517    541       
G        flat50-1      0  518    542       
G        flat50-1      0  519    542       
G        flat50-1      0  520    541       
G        flat50-1      0  521    540       
G        flat50-1      0  522    541       
G        flat50-1      0  523    541       
G        flat50-1      0  524    541       
G        flat50-1      0  525    539       
G        flat50-1      0  526    541       
G        flat50-1      0  527    543       
G        flat50-1      0  528    538       
G        flat50-1      0  529    541       
G        flat50-1      0  530    541       
G        flat50-1      0  531    541       
G        flat50-1      0  532    541       
G        flat50-1      0  533    540       
G        flat50-1      0  534    542       
G        flat50-1      0  535    540       
G        flat50-1      0  536    543       
G        flat50-1      0  537    543       
G        flat50-1      0  538    540       
G        flat50-1      0  539    538       
G        flat50-1      0  540    544       
G        flat50-1      0  541    539       
G        flat50-1      0  542    541       
G        flat50-1      0  543    542       
G        flat50-1      0  544    542       
G        flat50-1      0  545    539       
G        flat50-1      0  546    542       
G        flat50-1      0  547    541       
G        flat50-1      0  548    539       
G        flat50-1      0  549    540       
G        flat50-1      0  550    539       
G        flat50-1      0  551    544       
G        flat50-1      0  552    544       
G        flat50-1      0  553    543       
G        flat50-1      0  554    542       
G        flat50-1      0  555    540       
G        flat50-1      0  556    540       
G        flat50-1      0  557    544       
G        flat50-1      0  558    543       
G        flat50-1      0  559    542       
G        flat50-1      0  560    540       
G        flat50-1      0  561    541       
G        flat50-1      0  562    538       
G        flat50-1      0  563    539       
G        flat50-1      0  564    541       
G        flat50-1      0  565    542       
G        flat50-1      0  566    539       
G        flat50-1      0  567    541       
G        flat50-1      0  568    543       
G        flat50-1      0  569    543       
G        flat50-1      0  570    540       
G        flat50-1      0  571    541       
G        flat50-1      0  572    540       
G        flat50-1      0  573    540       
G        flat50-1      0  574    540       
G        flat50-1      0  575    542       
G        flat50-1      0  576    541       
G        flat50-1      0  577    540       
G        flat50-1      0  578    543       
G        flat50-1      0  579    541       
G        flat50-1      0  580    542       
G        flat50-1      0  581    541       
G        flat50-1      0  582    542       
G        flat50-1      0  583    541       
G        flat50-1      0  584    541       
G        flat50-1      0  585    543       
G        flat50-1      0  586    541       
G        flat50-1      0  587    542       
G        flat50-1      0  588    543       
G        flat50-1      0  589    540       
G        flat50-1      0  590    544       
G        flat50-1      0  591    542       
G        flat50-1      0  592    540       
G        flat50-1      0  593    539       
G        flat50-1      0  594    540       
G        flat50-1      0  595    541       
G        flat50-1      0  596    540       
G        flat50-1      0  597    541       
G        flat50-1      0  598    539       
G        flat50-1      0  599    544       
G        flat50-1      0  600    540       
G        flat50-1      0  601    541       
G        flat50-1      0  602    542       
G        flat50-1      0  603    541       
G        flat50-1      0  604    542       
G        flat50-1      0  605    542       
G        flat50-1      0  606    540       
G        flat50-1      0  607    540       
G        flat50-1      0  608    540       
G        flat50-1      0  609    540       
G        flat50-1      0  610    542       
G        flat50-1      0  611    542       
G        flat50-1      0  612    542       
G        flat50-1      0  613    541       
G        flat50-1      0  614    542       
G        flat50-1      0  615    541       
G        flat50-1      0  616    541       
G        flat50-1      0  617    539       
G        flat50-1      0  618    539       
G        flat50-1      0  619    540       
G        flat50-1      0  620    540       
G        flat50-1      0  621    541       
G        flat50-1      0  622    544       
G        flat50-1      0  623    541       
G        flat50-1      0  624    544       
G        flat50-1      0  625    541       
G        flat50-1      0  626    541       
G        flat50-1      0  627    541       
G        flat50-1      0  628    541       
G        flat50-1      0  629    541       
G        flat50-1      0  630    542       
G        flat50-1      0  631    540       
G        flat50-1      0  632    540       
G        flat50-1      0  633    543       
G        flat50-1      0  634    542       
G        flat50-1      0  635    541       
G        flat50-1      0  636    540       
G        flat50-1      0  637    541       
G        flat50-1      0  638    542       
G        flat50-1      0  639    542       
G        flat50-1      0  640    541       
G        flat50-1      0  641    539       
G        flat50-1      0  642    542       
G        flat50-1      0  643    541       
G        flat50-1      0  644    542       
G        flat50-1      0  645    541       
G        flat50-1      0  646    542       
G        flat50-1      0  647    541       
G        flat50-1      0  648    538       
G        flat50-1      0  649    541       
G        flat50-1      0  650    541       
G        flat50-1      0  651    540       
G        flat50-1      0  652    542       
G        flat50-1      0  653    543       
G        flat50-1      0  654    543       
G        flat50-1      0  655    540       
G        flat50-1      0  656    540       
G        flat50-1      0  657    541       
G        flat50-1      0  658    542       
G        flat50-1      0  659    543       
G        flat50-1      0  660    541       
G        flat50-1      0  661    540       
G        flat50-1      0  662    540       
G        flat50-1      0  663    541       
G        flat50-1      0  664    542       
G        flat50-1      0  665    542       
G        flat50-1      0  666    542       
G        flat50-1      0  667    541       
G        flat50-1      0  668    542       
